experiment,train_source,test_source,ap,precision,recall,f1,pron_pron_r,pron_noun_r,pron_propn_r,noun_propn_r,test_episodes,gull_ap,gull_precision,gull_recall,gull_f1,gull_episodes
t2_test_preco,litbank+corefud+conll2012,preco,0.8861,0.8688,0.7197,0.7872,0.8432,0.1053,0.8395,0.0641,62258,0.9954,0.9780,0.9426,0.9600,3339
t2_test_litbank,preco+corefud+conll2012,litbank,0.9358,0.8888,0.8333,0.8602,0.8726,0.2177,0.7443,0.2125,177159,0.9885,0.9725,0.8020,0.8790,3339
t2_test_corefud,preco+litbank+conll2012,corefud,0.8961,0.8260,0.7926,0.8089,0.9041,0.2398,0.8440,0.1000,174524,0.9947,0.9705,0.9698,0.9701,3339
t2_test_conll2012,preco+litbank+corefud,conll2012,0.8735,0.7892,0.7987,0.7939,0.9054,0.0345,0.6411,0.0000,62420,0.9968,0.9751,0.9471,0.9609,3339
